movieId,title,genres,rating num
2072,"'burbs, The (1989)",Comedy,17
69757,(500) Days of Summer (2009),Comedy|Drama|Romance,42
152077,10 Cloverfield Lane (2016),Thriller,14
2572,10 Things I Hate About You (1999),Comedy|Romance,54
58293,"10,000 BC (2008)",Adventure|Romance|Thriller,17
1367,101 Dalmatians (1996),Adventure|Children|Comedy,47
2085,101 Dalmatians (One Hundred and One Dalmatians) (1961),Adventure|Animation|Children,44
1203,12 Angry Men (1957),Drama,57
105844,12 Years a Slave (2013),Drama,16
81562,127 Hours (2010),Adventure|Drama|Thriller,18
7444,13 Going on 30 (2004),Comedy|Fantasy|Romance,21
2826,"13th Warrior, The (1999)",Action|Adventure|Fantasy,26
53953,1408 (2007),Drama|Horror|Thriller,25
4167,15 Minutes (2001),Thriller,10
68135,17 Again (2009),Comedy|Drama,10
2117,1984 (Nineteen Eighty-Four) (1984),Drama|Sci-Fi,14
999,2 Days in the Valley (1996),Crime|Film-Noir,12
6383,"2 Fast 2 Furious (Fast and the Furious 2, The) (2003)",Action|Crime|Thriller,19
1019,"20,000 Leagues Under the Sea (1954)",Adventure|Drama|Sci-Fi,17
924,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi,109
2311,2010: The Year We Make Contact (1984),Sci-Fi,17
72378,2012 (2009),Action|Drama|Sci-Fi|Thriller,21
58803,21 (2008),Crime|Drama|Romance|Thriller,18
6953,21 Grams (2003),Crime|Drama|Mystery|Romance|Thriller,25
93510,21 Jump Street (2012),Action|Comedy|Crime,26
112138,22 Jump Street (2014),Action|Comedy|Crime,19
5954,25th Hour (2002),Crime|Drama,22
56949,27 Dresses (2008),Comedy|Romance,20
3534,28 Days (2000),Drama,25
6502,28 Days Later (2002),Action|Horror|Sci-Fi,58
53000,28 Weeks Later (2007),Horror|Sci-Fi|Thriller,21
55282,30 Days of Night (2007),Horror|Thriller,11
51662,300 (2007),Action|Fantasy|War|IMAX,80
965,"39 Steps, The (1935)",Drama|Mystery|Thriller,11
54997,3:10 to Yuma (2007),Action|Crime|Drama|Western,25
5151,40 Days and 40 Nights (2002),Comedy|Romance,18
35836,"40-Year-Old Virgin, The (2005)",Comedy|Romance,74
2731,"400 Blows, The (Les quatre cents coups) (1959)",Crime|Drama,12
5049,48 Hrs. (1982),Action|Comedy|Crime|Drama,11
7293,50 First Dates (2004),Comedy|Romance,47
89864,50/50 (2011),Comedy|Drama,19
3986,"6th Day, The (2000)",Action|Sci-Fi|Thriller,20
1251,8 1/2 (8½) (1963),Drama|Fantasy,14
5810,8 Mile (2002),Drama,41
2505,8MM (1999),Drama|Mystery|Thriller,18
71057,9 (2009),Adventure|Animation|Sci-Fi,14
3707,9 1/2 Weeks (Nine 1/2 Weeks) (1986),Drama|Romance,10
111743,A Million Ways to Die in the West (2014),Comedy|Western,12
78469,"A-Team, The (2010)",Action|Comedy|Thriller,17
4370,A.I. Artificial Intelligence (2001),Adventure|Drama|Sci-Fi,56
8810,AVP: Alien vs. Predator (2004),Action|Horror|Sci-Fi|Thriller,17
5945,About Schmidt (2002),Comedy|Drama,26
104374,About Time (2013),Drama|Fantasy|Romance,15
5377,About a Boy (2002),Comedy|Drama|Romance,44
1459,Absolute Power (1997),Mystery|Thriller,12
1127,"Abyss, The (1989)",Action|Adventure|Sci-Fi|Thriller,62
47518,Accepted (2006),Comedy,14
344,Ace Ventura: Pet Detective (1994),Comedy,161
19,Ace Ventura: When Nature Calls (1995),Comedy,88
54190,Across the Universe (2007),Drama|Fantasy|Musical|Romance,11
5902,Adaptation (2002),Comedy|Drama|Romance,46
410,Addams Family Values (1993),Children|Comedy|Fantasy,84
2124,"Addams Family, The (1991)",Children|Comedy|Fantasy,38
1541,Addicted to Love (1997),Comedy|Romance,10
84954,"Adjustment Bureau, The (2011)",Romance|Sci-Fi|Thriller,21
67734,Adventureland (2009),Comedy|Drama,15
2133,Adventures in Babysitting (1987),Adventure|Comedy,20
4467,"Adventures of Baron Munchausen, The (1988)",Adventure|Comedy|Fantasy,13
3070,"Adventures of Buckaroo Banzai Across the 8th Dimension, The (1984)",Adventure|Comedy|Sci-Fi,21
345,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama,36
90746,"Adventures of Tintin, The (2011)",Action|Animation|Mystery|IMAX,12
37386,Aeon Flux (2005),Action|Sci-Fi,21
969,"African Queen, The (1951)",Adventure|Comedy|Romance|War,34
412,"Age of Innocence, The (1993)",Drama,15
1608,Air Force One (1997),Action|Thriller,58
413,Airheads (1994),Comedy,26
2792,Airplane II: The Sequel (1982),Comedy,19
2791,Airplane! (1980),Comedy,87
1274,Akira (1988),Action|Adventure|Animation|Sci-Fi,39
588,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical,183
1064,Aladdin and the King of Thieves (1996),Animation|Children|Comedy|Fantasy|Musical|Romance,13
8977,Alexander (2004),Action|Adventure|Drama|War,10
1032,Alice in Wonderland (1951),Adventure|Animation|Children|Fantasy|Musical,40
74789,Alice in Wonderland (2010),Adventure|Fantasy|IMAX,28
1214,Alien (1979),Horror|Sci-Fi,146
3701,Alien Nation (1988),Crime|Drama|Sci-Fi|Thriller,13
1690,Alien: Resurrection (1997),Action|Horror|Sci-Fi,45
1200,Aliens (1986),Action|Adventure|Horror|Sci-Fi,126
1320,Alien³ (a.k.a. Alien 3) (1992),Action|Horror|Sci-Fi|Thriller,47
926,All About Eve (1950),Drama,24
3083,All About My Mother (Todo sobre mi madre) (1999),Drama,19
2123,All Dogs Go to Heaven (1989),Animation|Children|Comedy|Drama|Fantasy,15
631,All Dogs Go to Heaven 2 (1996),Adventure|Animation|Children|Fantasy|Musical|Romance,11
1927,All Quiet on the Western Front (1930),Action|Drama|War,10
6787,All the President's Men (1976),Drama|Thriller,27
3897,Almost Famous (2000),Drama,83
7173,Along Came Polly (2004),Comedy|Romance,24
4238,Along Came a Spider (2001),Action|Crime|Mystery|Thriller,17
1225,Amadeus (1984),Drama,76
95510,"Amazing Spider-Man, The (2012)",Action|Adventure|Sci-Fi|IMAX,30
4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Comedy|Romance,120
4639,America's Sweethearts (2001),Comedy|Romance,18
2858,American Beauty (1999),Drama|Romance,204
55765,American Gangster (2007),Crime|Drama|Thriller,37
3363,American Graffiti (1973),Comedy|Drama,43
2329,American History X (1998),Crime|Drama,129
106916,American Hustle (2013),Crime|Drama,16
2706,American Pie (1999),Comedy|Romance,103
4718,American Pie 2 (2001),Comedy,45
11,"American President, The (1995)",Comedy|Drama|Romance,70
3535,American Psycho (2000),Crime|Horror|Mystery|Thriller,59
114662,American Sniper (2014),Action|War,15
6620,American Splendor (2003),Comedy|Drama,18
2141,"American Tail, An (1986)",Adventure|Animation|Children|Comedy,18
2142,"American Tail: Fievel Goes West, An (1991)",Adventure|Animation|Children|Musical|Western,10
6586,American Wedding (American Pie 3) (2003),Comedy,16
1321,"American Werewolf in London, An (1981)",Comedy|Horror|Thriller,23
2793,"American Werewolf in Paris, An (1997)",Comedy|Horror|Romance|Thriller,10
900,"American in Paris, An (1951)",Musical|Romance,12
1693,Amistad (1997),Drama|Mystery,19
1327,"Amityville Horror, The (1979)",Drama|Horror|Mystery|Thriller,15
4235,Amores Perros (Love's a Bitch) (2000),Drama|Thriller,23
1499,Anaconda (1997),Action|Adventure|Thriller,27
2539,Analyze This (1999),Comedy,47
1688,Anastasia (1997),Adventure|Animation|Children|Drama|Musical,20
107348,Anchorman 2: The Legend Continues (2013),Comedy,11
8641,Anchorman: The Legend of Ron Burgundy (2004),Comedy,57
5225,And Your Mother Too (Y tu mamá también) (2001),Drama|Romance,21
68554,Angels & Demons (2009),Crime|Drama|Mystery|Thriller,17
1021,Angels in the Outfield (1994),Children|Comedy,27
6287,Anger Management (2003),Comedy,34
3421,Animal House (1978),Comedy,62
4340,"Animal, The (2001)",Comedy,11
27660,"Animatrix, The (2003)",Action|Animation|Drama|Sci-Fi,20
4039,Annie (1982),Children|Musical,16
1230,Annie Hall (1977),Comedy|Romance,58
415,Another Stakeout (1993),Comedy|Thriller,16
122900,Ant-Man (2015),Action|Adventure|Sci-Fi,27
2294,Antz (1998),Adventure|Animation|Children|Comedy|Fantasy,45
3173,Any Given Sunday (1999),Drama,18
909,"Apartment, The (1960)",Comedy|Drama|Romance,27
1208,Apocalypse Now (1979),Action|Drama|War,107
48304,Apocalypto (2006),Adventure|Drama|Thriller,19
150,Apollo 13 (1995),Adventure|Drama|IMAX,201
1007,"Apple Dumpling Gang, The (1975)",Children|Comedy|Western,10
2699,Arachnophobia (1990),Comedy|Horror,53
97304,Argo (2012),Drama|Thriller,28
616,"Aristocats, The (1970)",Animation|Children,45
34338,"Aristocrats, The (2005)",Comedy|Documentary,10
2707,Arlington Road (1999),Thriller,22
1917,Armageddon (1998),Action|Romance|Sci-Fi|Thriller,92
1215,Army of Darkness (1993),Action|Adventure|Comedy|Fantasy|Horror,51
952,Around the World in 80 Days (1956),Adventure|Comedy,12
164179,Arrival (2016),Sci-Fi,26
748,"Arrival, The (1996)",Action|Sci-Fi|Thriller,22
1269,Arsenic and Old Lace (1944),Comedy|Mystery|Thriller,29
3524,Arthur (1981),Comedy|Romance,10
1784,As Good as It Gets (1997),Comedy|Drama|Romance,96
55363,"Assassination of Jesse James by the Coward Robert Ford, The (2007)",Crime|Drama|Western,10
23,Assassins (1995),Action|Crime|Thriller,16
2827,"Astronaut's Wife, The (1999)",Horror|Sci-Fi|Thriller,11
4366,Atlantis: The Lost Empire (2001),Adventure|Animation|Children|Fantasy,19
55052,Atonement (2007),Drama|Romance|War,13
5481,Austin Powers in Goldmember (2002),Comedy,65
1517,Austin Powers: International Man of Mystery (1997),Action|Adventure|Comedy,100
2683,Austin Powers: The Spy Who Shagged Me (1999),Action|Adventure|Comedy,121
3824,Autumn in New York (2000),Drama|Romance,11
72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,97
2153,"Avengers, The (1998)",Action|Adventure,11
89745,"Avengers, The (2012)",Action|Adventure|Sci-Fi|IMAX,69
122892,Avengers: Age of Ultron (2015),Action|Adventure|Sci-Fi,27
122912,Avengers: Infinity War - Part I (2018),Action|Adventure|Sci-Fi,13
30812,"Aviator, The (2004)",Drama,35
3105,Awakenings (1990),Drama|Mystery,22
2060,BASEketball (1998),Comedy,14
34,Babe (1995),Children|Drama,128
2384,Babe: Pig in the City (1998),Adventure|Children|Drama,29
46723,Babel (2006),Drama|Thriller,31
59258,Baby Mama (2008),Comedy,11
3004,"Bachelor, The (1999)",Comedy|Romance,11
2416,Back to School (1986),Comedy,16
1270,Back to the Future (1985),Adventure|Comedy|Sci-Fi,171
2011,Back to the Future Part II (1989),Adventure|Comedy|Sci-Fi,87
2012,Back to the Future Part III (1990),Adventure|Comedy|Sci-Fi|Western,88
3107,Backdraft (1991),Action|Drama,23
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,51
6548,Bad Boys II (2003),Action|Comedy|Crime|Thriller,17
6957,Bad Santa (2003),Comedy|Crime,26
3741,Badlands (1973),Crime|Drama|Thriller,11
2018,Bambi (1942),Animation|Children|Drama,38
1078,Bananas (1971),Comedy|War,11
58295,"Bank Job, The (2008)",Action|Crime|Thriller,13
737,Barb Wire (1996),Action|Sci-Fi,20
417,Barcelona (1994),Comedy|Romance,13
6440,Barton Fink (1991),Drama|Thriller,14
1092,Basic Instinct (1992),Crime|Mystery|Thriller,47
147,"Basketball Diaries, The (1995)",Drama,15
1562,Batman & Robin (1997),Action|Adventure|Fantasy|Thriller,42
592,Batman (1989),Action|Crime|Thriller,189
33794,Batman Begins (2005),Action|Crime|IMAX,116
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,137
1377,Batman Returns (1992),Action|Crime,60
136864,Batman v Superman: Dawn of Justice (2016),Action|Adventure|Fantasy|Sci-Fi,16
3213,Batman: Mask of the Phantasm (1993),Animation|Children,13
7022,Battle Royale (Batoru rowaiaru) (2000),Action|Drama|Horror|Thriller,30
3593,Battlefield Earth (2000),Action|Sci-Fi,19
3742,Battleship Potemkin (1925),Drama|War,10
27611,Battlestar Galactica (2003),Drama|Sci-Fi|War,19
55830,Be Kind Rewind (2008),Comedy,10
3285,"Beach, The (2000)",Adventure|Drama,32
1665,Bean (1997),Comedy,16
94,Beautiful Girls (1996),Comedy|Drama|Romance,10
4995,"Beautiful Mind, A (2001)",Drama|Romance,123
595,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX,146
154,Beauty of the Day (Belle de jour) (1967),Drama,12
1405,Beavis and Butt-Head Do America (1996),Adventure|Animation|Comedy|Crime,31
3968,Bedazzled (2000),Comedy,27
1031,Bedknobs and Broomsticks (1971),Adventure|Children|Musical,24
65088,Bedtime Stories (2008),Adventure|Children|Comedy,11
55768,Bee Movie (2007),Animation|Comedy,10
6793,Beethoven (1992),Children|Comedy|Drama,11
2174,Beetlejuice (1988),Comedy|Fantasy,91
215,Before Sunrise (1995),Drama|Romance,24
8638,Before Sunset (2004),Drama|Romance,15
4958,Behind Enemy Lines (2001),Action|Drama|War,20
2997,Being John Malkovich (1999),Comedy|Drama|Fantasy,99
1292,Being There (1979),Comedy|Drama,20
1287,Ben-Hur (1959),Action|Adventure|Drama,34
44840,"Benchwarmers, The (2006)",Comedy,11
6218,Bend It Like Beckham (2002),Comedy|Drama|Romance,40
2530,Beneath the Planet of the Apes (1970),Action|Sci-Fi,18
1441,Benny & Joon (1993),Comedy|Romance,19
3911,Best in Show (2000),Comedy,53
